text_id,level,mean_FF,median_FF,mean_nonzero_FF,n_subjects,n_rows
3_1_1,Adv,115.05245398773006,126.0,192.5745336299846,60,9780
3_1_1,Ele,114.31641221374046,123.0,192.5277480179987,60,7860
3_1_2,Adv,124.422,141.0,191.28766655278443,60,4500
3_1_2,Ele,134.14636363636365,147.0,197.01068090787717,60,3300
3_1_3,Adv,114.96636001647673,124.0,191.2517131110096,60,7283
3_1_3,Ele,100.1920227920228,95.0,186.7130342447571,60,7020
3_1_4,Adv,125.51556291390729,138.0,195.9288421778084,60,9060
3_1_4,Ele,120.20137741046833,135.0,189.66789828298195,60,7260
3_1_5,Adv,124.61013513513514,137.0,194.231700895208,60,8880
3_1_5,Ele,118.24662447257384,134.0,189.99627118644068,60,4740
3_2_1,Adv,117.11236111111111,133.0,188.00646599777033,60,7200
3_2_1,Ele,114.32350427350427,127.0,188.7023277686339,60,7020
3_2_2,Adv,136.05309523809524,148.0,202.9200994318182,60,4200
3_2_2,Ele,123.73989898989899,141.0,188.3205226748655,60,3960
3_2_3,Adv,124.46246105919003,138.5,196.66477971941916,60,6420
3_2_3,Ele,117.81442307692308,134.0,187.35015290519877,60,6240
3_2_4,Adv,124.5480122324159,136.0,192.70026023184292,60,6540
3_2_4,Ele,113.8220064724919,130.0,182.65904959750713,60,6180
3_2_5,Adv,112.40283018867925,121.0,191.828801431127,60,9540
3_2_5,Ele,117.1970802919708,130.0,193.5235034150261,60,8220
3_3_1,Adv,121.27315436241611,136.0,192.74346666666668,60,8940
3_3_1,Ele,119.62969483568075,132.0,191.1920840367661,60,8520
3_3_2,Adv,118.50022988505746,134.0,190.2827611664821,60,8700
3_3_2,Ele,119.41236111111111,132.0,194.56189183073093,60,7200
3_3_3,Adv,113.79254385964913,121.0,195.0362713775606,60,9120
3_3_3,Ele,105.33644986449865,108.0,188.54790201309726,60,7380
3_3_4,Adv,119.92938818814099,131.0,196.13668787352998,60,8483
3_3_4,Ele,106.61705729166667,108.0,190.73351968320523,60,7680
3_3_5,Adv,114.08599537037037,125.5,191.51020011657275,60,8640
3_3_5,Ele,117.17125984251969,125.0,195.67061143984222,60,7620
3_4_1,Adv,119.14228650137741,132.0,192.43003337041156,60,7260
3_4_1,Ele,102.85264227642277,112.0,181.37455197132616,60,4920
3_4_2,Adv,117.13860215053764,131.0,189.5248782185108,60,9300
3_4_2,Ele,122.74037356321838,134.0,194.3296178343949,60,6960
3_4_3,Adv,120.76068376068376,135.0,190.0336247478144,60,7020
3_4_3,Ele,114.7375,128.0,190.89774696707104,60,4800
3_4_4,Adv,119.705625,133.0,191.0513715710723,60,9600
3_4_4,Ele,119.22690058479532,132.0,190.45119103222794,60,6840
3_4_5,Adv,121.51469534050179,134.0,187.15208390836324,60,5580
3_4_5,Ele,111.31890243902438,119.0,188.92342186961022,60,4920
3_5_1,Adv,120.66587301587302,134.0,196.10705730606227,60,8820
3_5_1,Ele,117.75272727272727,134.0,188.90811861934856,60,6600
3_5_2,Adv,112.19339430894308,119.0,192.768115942029,60,9840
3_5_2,Ele,107.14572649572649,114.0,189.0094232943837,60,9360
3_5_3,Adv,118.98783783783784,135.0,187.20978029766124,60,6660
3_5_3,Ele,118.89255663430421,132.0,193.40773887865228,60,6180
3_5_4,Adv,116.37002237136466,128.0,192.55006477882657,60,8940
3_5_4,Ele,115.12092592592593,133.0,187.75385080036241,60,5400
3_6_1,Adv,114.84461152882206,128.0,190.92916666666667,60,7980
3_6_1,Ele,111.08673469387755,122.0,188.83781439722463,60,5880
3_6_2,Adv,118.72021857923497,137.0,185.6905982905983,60,3660
3_6_2,Ele,125.83060109289617,141.0,191.0954356846473,60,3660
3_6_3,Adv,132.97938587073224,146.0,195.9762658227848,60,4657
3_6_3,Ele,120.6546568627451,136.0,191.02483507954986,60,4080
3_6_4,Adv,121.53428571428572,136.0,191.99247743229688,60,6300
3_6_4,Ele,122.15708333333333,140.0,190.18942588387935,60,4800
3_6_5,Adv,123.47194835680752,136.0,194.41526520051747,60,8520
3_6_5,Ele,110.93106060606061,124.0,188.01874678993323,60,6600
3_6_6,Adv,103.23979166666666,102.0,186.4024826029716,60,9600
3_6_6,Ele,114.55269953051643,126.0,189.3286129970902,60,8520
