text_id,align_idx,level,mean_FD,median_FD,mean_nonzero_FD,n_subjects,n_rows
1_2_1,64,Ele,193.08376288659792,181.0,193.08376288659792,59,1552
1_2_2,65,Adv,202.4377142857143,183.0,202.4377142857143,60,875
1_2_2,65,Ele,192.62280701754386,182.0,192.62280701754386,60,570
1_2_2,66,Adv,196.23493360572013,178.0,196.23493360572013,60,979
1_2_2,66,Ele,187.94367816091955,173.0,187.94367816091955,60,870
1_2_2,67,Adv,194.1075129533679,178.5,194.1075129533679,60,772
1_2_2,67,Ele,189.66869671132764,176.0,189.66869671132764,59,821
1_2_2,68,Adv,197.5330243337196,175.0,197.5330243337196,60,1726
1_2_2,68,Ele,194.35629820051415,179.0,194.35629820051415,60,1945
1_2_2,69,Adv,197.89422355588897,183.0,197.89422355588897,60,1333
1_2_2,69,Ele,194.23489932885906,178.0,194.23489932885906,60,1341
1_2_2,70,Adv,191.75595984943538,173.0,191.75595984943538,60,1594
1_2_2,70,Ele,212.14906832298138,183.0,212.14906832298138,60,1771
1_2_3,71,Adv,199.86577571179546,188.0,199.86577571179546,60,1721
1_2_3,72,Adv,198.38241430700447,185.0,198.38241430700447,60,3355
1_2_3,72,Ele,200.59559834938102,182.0,200.59559834938102,60,2908
1_2_3,73,Adv,196.73290203327173,182.0,196.73290203327173,60,2164
1_2_3,73,Ele,198.7765444015444,180.0,198.7765444015444,60,2072
1_2_3,74,Adv,191.40758293838863,176.0,191.40758293838863,59,633
1_2_4,75,Adv,189.6658878504673,178.0,189.6658878504673,60,2140
1_2_4,75,Ele,194.4296130117779,179.0,194.4296130117779,60,1783
1_2_4,76,Adv,195.13111413043478,185.0,195.13111413043478,60,1472
1_2_4,76,Ele,192.78264040846096,173.0,192.78264040846096,60,1371
1_2_4,77,Adv,198.65069860279442,186.0,198.65069860279442,60,1002
1_2_4,77,Ele,187.35584415584415,173.0,187.35584415584415,60,385
1_2_4,78,Adv,180.90865384615384,167.0,180.90865384615384,60,416
1_2_4,78,Ele,191.2674157303371,173.0,191.2674157303371,60,445
1_2_4,79,Adv,193.77901785714286,184.0,193.77901785714286,60,448
1_2_4,79,Ele,183.32258064516128,170.0,183.32258064516128,60,248
1_2_4,80,Adv,178.18006430868166,168.0,178.18006430868166,60,311
1_2_4,80,Ele,183.52777777777777,167.0,183.52777777777777,60,252
1_2_4,81,Adv,189.10974106041922,177.0,189.10974106041922,60,1622
1_2_4,81,Ele,182.325644504749,169.0,182.325644504749,60,737
1_2_5,82,Adv,191.88266871165644,177.0,191.88266871165644,60,1304
1_2_5,82,Ele,194.56602373887242,178.5,194.56602373887242,60,1348
1_2_5,83,Adv,193.12539936102237,178.0,193.12539936102237,60,1252
1_2_5,83,Ele,198.87954239569314,178.5,198.87954239569314,60,1486
1_2_5,84,Adv,197.72217898832685,183.0,197.72217898832685,60,1285
1_2_5,84,Ele,188.08941418293935,173.0,188.08941418293935,60,973
1_2_5,85,Adv,196.9328231292517,182.0,196.9328231292517,60,1176
1_2_5,85,Ele,185.4674721189591,171.0,185.4674721189591,60,1076
1_2_5,86,Adv,190.21510096575943,179.0,190.21510096575943,60,1139
1_2_6,87,Adv,199.14493293591653,183.0,199.14493293591653,60,2684
