text_id,align_idx,level,mean_FF,median_FF,mean_nonzero_FF,n_subjects,n_rows
1_2_5,83,Adv,166.0051724137931,170.0,216.8536036036036,58,1160
1_2_5,83,Ele,167.1404358353511,172.0,225.33949945593037,59,1239
1_2_5,84,Adv,152.25933908045977,161.0,217.15676229508196,58,1392
1_2_5,84,Ele,142.93755575379126,154.0,215.36693548387098,59,1121
1_2_5,85,Adv,146.33793103448275,152.5,213.6858006042296,58,1450
1_2_5,85,Ele,136.26169491525422,148.0,214.95828877005349,59,1475
1_2_5,86,Adv,139.8380541871921,151.0,208.92088316467343,58,1624
1_2_6,87,Adv,169.55790960451978,178.0,221.21683046683046,59,2124
1_2_6,87,Ele,163.45,166.0,207.44201312910283,58,1160
1_2_6,88,Adv,149.1838331160365,160.0,215.8943396226415,59,767
1_2_6,88,Ele,159.3793103448276,164.0,219.2919708029197,58,754
1_2_6,89,Adv,158.28060263653484,168.0,227.46143437077131,59,1062
1_2_6,89,Ele,129.41931034482758,138.5,216.69515011547344,58,1450
1_3_1,90,Adv,158.26954620010935,167.0,220.9732824427481,59,1829
1_3_1,90,Ele,144.72651605231866,156.0,208.41609589041096,58,1682
1_3_1,91,Adv,178.52012711864407,188.0,231.17009602194787,59,944
1_3_1,91,Ele,167.86453201970443,169.5,215.6740506329114,58,812
1_3_1,92,Adv,163.33499501495513,172.0,223.4993178717599,59,1003
1_3_1,92,Ele,138.09814323607426,149.0,217.155370177268,58,1508
1_3_1,93,Adv,123.84546360917248,132.0,213.06518010291595,59,1003
1_3_1,93,Ele,120.95943204868153,123.5,205.63103448275862,58,986
1_3_2,94,Adv,164.6004056795132,174.0,212.98687664041995,58,986
1_3_2,94,Ele,165.46246973365618,179.5,219.7299035369775,59,826
1_3_2,95,Adv,169.8456896551724,167.0,211.3959227467811,58,1160
1_3_2,95,Ele,154.3477966101695,163.0,222.11024390243904,59,1475
1_3_2,96,Adv,167.9717868338558,179.0,225.61263157894737,58,1276
1_3_2,96,Ele,176.39322033898304,179.0,226.24347826086955,59,590
1_3_2,97,Adv,154.41683569979716,165.0,219.38760806916426,58,986
1_3_2,97,Ele,158.15783898305085,173.0,217.00726744186048,59,944
1_3_3,98,Adv,166.97308075772682,176.0,224.4959785522788,59,1003
1_3_3,98,Ele,166.31120689655174,167.0,210.38276990185386,58,1160
1_3_3,99,Adv,146.07909604519773,148.0,197.3740458015267,59,177
1_3_3,99,Ele,180.95402298850576,185.0,234.97014925373134,58,174
1_3_3,100,Adv,170.77349768875192,182.0,227.5811088295688,59,649
1_3_3,100,Ele,148.41644562334218,158.5,222.9203187250996,58,754
1_3_3,101,Adv,143.98205383848455,157.0,221.83410138248848,59,1003
1_3_3,101,Ele,147.02155172413794,149.0,218.64743589743588,58,232
1_3_3,102,Adv,172.64606181455633,178.0,225.47395833333334,59,1003
1_3_3,102,Ele,129.77758620689656,150.0,205.09809264305176,58,580
1_3_3,103,Adv,146.41101694915255,155.0,205.67261904761904,59,236
1_3_3,103,Ele,131.16954022988506,128.5,204.695067264574,58,348
1_3_3,104,Adv,144.95176010430248,160.0,216.93268292682927,59,1534
1_3_3,104,Ele,127.58173690932311,135.5,211.8695652173913,58,1566
1_3_3,105,Adv,142.6486902927581,151.0,216.30607476635515,59,649
1_3_3,105,Ele,124.24568965517241,132.0,207.87259615384616,58,696
1_3_4,106,Adv,158.96851574212894,164.0,217.05629477993858,58,1334
1_3_4,106,Ele,144.39709443099272,161.0,198.12624584717608,59,413
1_3_4,107,Adv,167.99216300940438,179.5,220.9876288659794,58,638
1_3_4,107,Ele,144.88014527845036,156.0,211.0599647266314,59,826
1_3_4,108,Adv,154.07375478927204,158.0,218.55027173913044,58,1044
1_3_4,108,Ele,146.59604519774012,160.0,214.14718019257222,59,1062
1_3_4,109,Adv,144.38656987295826,148.0,216.77656675749319,58,1102
1_3_4,110,Adv,147.56978653530376,155.0,217.20845921450152,58,2436
1_3_4,110,Ele,142.87627118644068,157.0,213.9517766497462,59,2360
1_3_5,111,Adv,167.21206896551723,169.5,212.68201754385964,58,1160
1_3_5,112,Adv,154.98768472906403,161.0,213.48600508905852,58,1624
1_3_5,112,Ele,158.1175847457627,170.0,215.38672438672438,59,944
1_3_5,113,Adv,169.8128078817734,170.0,221.68488745980707,58,812
1_3_5,114,Adv,144.03976073187897,153.0,215.79388508170797,58,5684
1_3_5,114,Ele,143.2842980492485,158.0,219.8478900883219,59,3127
