text_id,level,mean_GD,median_GD,mean_nonzero_GD,n_subjects,n_rows
3_6_3,Ele,182.79090909090908,165.0,255.5656074766355,55,3740
3_6_4,Adv,206.2152380952381,180.0,276.1170878738697,55,5775
3_6_4,Ele,190.03557692307692,171.0,257.42364050797784,52,4160
3_6_5,Adv,204.87946912242685,178.0,275.21011460796797,52,7384
3_6_5,Ele,188.06247933884296,169.0,260.2419945105215,55,6050
3_6_6,Adv,178.32420454545453,161.0,255.78696006519968,55,8800
3_6_6,Ele,188.6328548212351,171.0,259.42726764760664,52,7384
3_6_7,Adv,196.84479956663054,173.5,261.42122302158276,52,3692
3_6_7,Ele,177.70401069518718,165.0,252.60851387305206,55,3740
3_7_1,Adv,214.98917418459402,186.0,281.0736708401379,55,7205
3_7_1,Ele,199.06410256410257,177.0,271.2415193987406,52,6708
3_7_2,Adv,175.85272727272726,166.0,251.31143281366,55,7700
3_7_2,Ele,169.3864296081277,163.0,245.89360021069265,52,5512
3_7_3,Adv,202.29545454545453,178.0,269.87158908507223,55,7480
3_7_3,Ele,204.3363726790451,183.0,273.96243609691044,52,6032
3_7_4,Adv,213.52093292771258,184.0,282.5253977381637,52,6903
3_7_4,Ele,191.23386537126996,170.0,266.0950173812283,55,7205
3_7_5,Adv,206.37644519808848,179.0,282.97696047347284,52,6487
3_7_5,Ele,181.6873406966865,168.0,254.51797191144965,55,5885
3_7_6,Adv,175.43210483210484,161.0,253.49420118343195,55,6105
3_7_6,Ele,175.7508453085376,163.0,255.97199138196368,52,4732
3_7_7,Adv,180.10330041580042,164.0,260.3446656649136,52,7696
3_7_7,Ele,164.11874125874127,157.0,243.70695742471443,55,7150
3_8_1,Adv,190.6065862242333,166.0,277.69016663614724,52,7956
3_8_1,Ele,178.9312965722802,160.0,260.10160311958407,55,6710
3_8_2,Adv,202.06490384615384,176.0,283.6408773198361,52,5824
3_8_2,Ele,191.17090909090908,172.0,259.2591780821918,55,4950
3_8_3,Adv,178.86512667660207,166.5,251.92800167926111,55,6710
3_8_3,Ele,187.14353687549564,171.0,264.2642777155655,52,5044
3_8_4,Adv,180.05070214338508,167.0,248.27619241744802,55,6765
3_8_4,Ele,177.50235478806908,166.5,253.30495659479138,52,5096
3_8_5,Adv,201.6236888111888,180.0,274.5105623326391,52,4576
3_8_5,Ele,186.09285714285716,173.0,247.37419076391885,55,3080
3_8_6,Adv,200.74718574108817,175.0,275.8279269602578,52,6396
3_8_6,Ele,190.85627705627707,167.0,263.99880239520957,55,4620
3_9_1,Adv,191.99933481152993,171.0,272.9016703435235,55,4510
3_9_1,Ele,181.82292609351433,170.0,260.81479878840327,51,3315
3_9_2,Adv,180.69304152637486,166.5,257.96747316135236,55,8910
3_9_2,Ele,184.2500405120726,168.0,264.3587537781911,51,6171
3_9_3,Adv,174.60769980506822,161.0,250.99474605954467,55,8208
3_9_3,Ele,171.100882117081,163.0,246.09319492502883,51,6235
3_9_4,Adv,193.3432953826692,175.0,258.55423979699725,51,6324
3_9_4,Ele,176.7834498834499,169.0,238.86645669291337,55,4290
