text_id,align_idx,level,mean_TF,median_TF,mean_nonzero_TF,n_subjects,n_rows
1_3_5,114,Ele,222.11448672849377,176.0,340.8007850834151,59,3127
1_4_1,115,Adv,305.5176470588235,214.0,405.3433922996878,58,1275
1_4_1,115,Ele,252.06790622473727,190.0,360.47167630057805,59,1237
1_4_1,116,Adv,276.7476489028213,204.0,389.7682119205298,58,1276
1_4_1,116,Ele,264.032310177706,199.0,368.51409244644873,59,1238
1_4_1,117,Adv,318.25395075339947,235.0,417.3344578313253,58,2721
1_4_1,117,Ele,291.94698919197117,210.0,399.4739436619718,59,1943
1_4_1,119,Adv,275.53410622809383,202.0,381.04250559284117,58,3709
1_4_1,119,Ele,291.90140845070425,211.0,412.4378109452736,59,3124
1_4_2,120,Adv,363.3311170212766,258.0,472.16301843317973,58,2256
1_4_2,120,Ele,261.82412790697674,201.0,375.8031988873435,59,2064
1_4_2,121,Adv,306.77816091954026,240.0,411.24345146379045,58,870
1_4_2,121,Ele,253.30395480225988,203.0,353.58675078864354,59,885
1_4_2,122,Adv,254.47018828451883,182.0,370.84375,58,1912
1_4_2,122,Ele,232.1647509578544,176.0,345.9747145187602,59,1827
1_4_2,123,Adv,215.05273250239694,154.0,340.36418816388465,58,1043
1_4_2,123,Ele,254.19854721549638,197.0,359.5342465753425,59,413
1_4_2,124,Adv,239.3506289308176,174.0,340.5525727069351,58,636
1_4_2,124,Ele,239.23302469135803,195.0,329.13588110403396,59,648
1_4_2,125,Adv,282.6537949400799,207.0,375.70442477876105,58,751
1_4_2,125,Ele,242.748370273794,196.0,345.43228200371055,59,767
1_4_2,126,Adv,209.6261343012704,159.0,338.72140762463346,58,1102
1_4_2,126,Ele,190.1723163841808,163.5,305.5416036308623,59,1062
1_4_2,127,Adv,208.53287197231833,148.5,357.6617210682493,58,578
1_4_2,127,Ele,163.71802773497689,130.0,284.09893048128345,59,649
1_4_3,128,Adv,362.2506690454951,241.0,472.73923166472645,59,1121
1_4_3,128,Ele,330.95545454545453,229.5,414.6366742596811,58,1100
1_4_3,129,Adv,407.72330475448166,280.0,522.5864135864136,59,1283
1_4_3,129,Ele,272.7844827586207,202.0,377.1513706793802,58,1160
1_4_3,130,Adv,349.9457627118644,242.0,477.93518518518516,59,885
1_4_3,130,Ele,253.8166144200627,189.0,363.8988764044944,58,638
1_4_3,131,Adv,315.7649918962723,220.0,447.3639494833525,59,1234
1_4_3,131,Ele,256.24808429118775,189.0,368.4889807162534,58,1044
1_4_3,132,Adv,289.0930913348946,214.0,400.46309813463097,59,1708
1_4_3,132,Ele,246.7795566502463,194.0,368.3547794117647,58,812
1_4_4,133,Adv,300.58727915194345,226.0,415.3623046875,59,1415
1_4_4,133,Ele,325.04926108374383,235.0,435.54455445544556,58,1218
1_4_4,134,Adv,260.5174476570289,191.0,383.69897209985317,59,1003
1_4_4,134,Ele,310.74847870182555,226.5,435.8435277382646,58,986
1_4_4,135,Adv,376.9503916449086,269.5,471.80392156862746,59,766
1_4_4,135,Ele,344.764367816092,263.0,438.6764168190128,58,696
1_4_4,136,Adv,291.65412621359224,201.0,409.40885860306645,59,824
1_4_4,136,Ele,247.1473354231975,194.0,343.52941176470586,58,638
1_4_4,137,Adv,255.75706214689265,196.0,373.3525773195876,59,708
1_4_4,137,Ele,239.98656429942417,179.0,358.26074498567334,58,521
1_4_4,138,Adv,330.46080878681977,229.0,458.7061677061677,59,2003
1_4_4,138,Ele,311.3097854526426,215.0,436.1532258064516,58,1911
1_4_4,139,Adv,324.59805115712544,221.0,444.89983305509185,59,821
1_4_4,139,Ele,281.89408866995075,208.5,393.2955326460481,58,406
1_4_4,140,Adv,341.65581395348835,244.0,447.9024390243902,59,645
1_4_4,140,Ele,261.6258322237017,195.0,386.7736220472441,58,751
1_4_4,141,Adv,233.5271186440678,185.0,362.10512483574246,59,1180
1_4_5,142,Adv,319.6531440162272,248.0,409.32207792207794,58,986
1_4_5,142,Ele,347.3424528301887,236.0,462.54145728643215,59,1060
1_4_5,143,Adv,245.8585231193927,178.0,370.70655567117586,58,1449
1_4_5,143,Ele,311.69992609017,211.0,436.12202688728024,59,1353
1_4_5,144,Adv,275.9800531914894,206.5,391.57924528301885,58,1504
1_4_5,144,Ele,264.56073446327684,204.5,373.12549800796813,59,1416
1_4_5,145,Adv,302.39273356401384,218.0,409.80773739742085,58,1156
1_4_5,145,Ele,263.4668284789644,191.5,378.21718931475027,59,1236
1_5_1,146,Adv,284.66464891041164,200.5,399.20713073005095,59,1652
1_5_1,146,Ele,243.37061273051754,196.0,342.9220452640402,58,1681
1_5_1,147,Adv,266.8036900369004,192.0,394.67139737991266,59,1355
1_5_1,147,Ele,238.03770620581304,195.0,345.521094640821,58,1273
1_5_1,148,Adv,188.8450363196126,161.0,304.66015625,59,1239
