text_id,level,mean_HigherPassFixation,median_HigherPassFixation,mean_nonzero_HigherPassFixation,n_subjects,n_rows
2_7_1,Ele,125.35341365461848,0.0,349.72549019607845,54,1992
2_7_2,Adv,112.75449810606061,0.0,364.40321346595255,56,4224
2_7_2,Ele,113.06264591439688,0.0,366.88257575757575,54,2570
2_7_3,Adv,137.2995444191344,0.0,374.37577639751555,54,2634
2_7_3,Ele,194.50158874262368,0.0,472.4222712238148,56,2203
2_7_4,Adv,84.08627325208467,0.0,318.18082524271847,54,3118
2_7_4,Ele,85.91059602649007,0.0,317.953431372549,56,3020
2_7_5,Adv,162.00516917293234,0.0,426.1396786155748,56,4256
2_7_5,Ele,161.0707162284678,0.0,412.5255417956656,54,3309
2_7_6,Adv,86.57209048787135,0.0,341.90850376749194,54,3669
2_7_6,Ele,111.48719879518072,0.0,349.5985832349469,56,2656
2_8_1,Adv,149.1725338491296,0.0,402.51670146137786,54,2585
2_8_1,Ele,133.22347949080623,0.0,394.5089005235602,56,2828
2_8_2,Adv,128.37897150343923,0.0,346.54376657824935,54,3053
2_8_2,Ele,124.38419285932255,0.0,369.87931034482756,56,3277
2_8_3,Adv,152.78549747048905,0.0,397.37631578947367,56,2965
2_8_3,Ele,143.06756756756758,0.0,414.2739130434783,54,2664
2_8_4,Adv,263.22219028456453,126.0,496.8800868149756,56,3479
2_8_4,Ele,208.54541465555067,0.0,436.8336397058824,54,2279
2_8_5,Adv,202.7534174553102,0.0,449.460372960373,54,3804
2_8_5,Ele,222.0467069892473,0.0,475.40359712230213,56,2976
2_8_6,Adv,134.43056092843327,0.0,380.61664841182915,54,2585
2_8_6,Ele,166.57308048103607,0.0,416.818287037037,56,2162
2_9_1,Adv,233.7185230024213,0.0,521.4085077650236,56,3304
2_9_1,Ele,175.55780059622393,0.0,416.01962323390893,54,3019
2_9_2,Adv,227.6493601462523,0.0,477.4700920245399,56,2735
2_9_2,Ele,193.2714424951267,0.0,418.3470464135021,54,2052
2_9_3,Adv,165.1029677419355,0.0,431.1145552560647,56,3875
2_9_3,Ele,130.94049765596827,0.0,373.1736896197328,54,2773
2_9_4,Adv,159.7316269640142,0.0,445.12782485875704,54,3946
2_9_4,Ele,128.6201403887689,0.0,392.1061728395062,56,3704
2_9_5,Adv,217.4435248296008,0.0,485.73028820010876,56,4108
2_9_5,Ele,158.5130241423126,0.0,396.9761336515513,54,3148
2_9_6,Adv,199.06545568430943,0.0,436.84948453608246,54,3193
2_9_6,Ele,259.18289251547554,145.0,462.88241206030153,56,1777
3_10_1,Adv,210.37770734284206,0.0,460.39884393063585,55,1893
3_10_1,Ele,209.82899022801303,0.0,458.48754448398574,52,1842
3_10_2,Adv,176.50406156477126,0.0,440.1311300639659,52,2339
3_10_2,Ele,190.5190980211689,0.0,462.0513392857143,55,2173
3_10_3,Adv,192.99518072289158,0.0,433.71660649819495,52,2490
3_10_3,Ele,181.05712866368603,0.0,446.6519607843137,55,2013
