text_id,level,SkipRateFirstPass,SkipRateTotal,n_subjects,n_rows
2_3_2,Adv,0.4877126654064272,0.3076244486452426,54,7935
2_3_2,Ele,0.44024725274725274,0.2534340659340659,56,5824
2_3_3,Adv,0.5106209150326797,0.2679738562091503,56,8568
2_3_3,Ele,0.5317178881008668,0.3177698975571316,54,5076
2_3_4,Adv,0.5181188382627232,0.354916067146283,54,7506
2_3_4,Ele,0.4477726574500768,0.27860983102918585,56,5208
2_4_1,Adv,0.42639372822299654,0.2698170731707317,56,4592
2_4_1,Ele,0.5105413105413106,0.3418803418803419,54,3510
2_4_2,Adv,0.4102941176470588,0.23403361344537815,56,4760
2_4_2,Ele,0.45498652291105124,0.2711590296495957,53,3710
2_4_3,Adv,0.44024045261669026,0.23161244695898162,56,5656
2_4_3,Ele,0.46859326486744685,0.269644136613327,53,4187
2_4_4,Adv,0.4173632218844985,0.24202127659574468,56,5264
2_4_4,Ele,0.48546059933407326,0.24927857935627082,53,4505
2_4_5,Adv,0.4858490566037736,0.3184835779175402,53,5724
2_4_5,Ele,0.4293394777265745,0.266705069124424,56,5208
2_4_6,Adv,0.4846522106448888,0.2776682624612785,53,3551
2_4_6,Ele,0.46964285714285714,0.24129464285714286,56,4480
2_4_7,Adv,0.45217391304347826,0.2554347826086957,56,6440
2_4_7,Ele,0.49815922687528763,0.31960423377818686,53,4346
2_5_1,Adv,0.4844961240310077,0.3240022968705139,54,6966
2_5_1,Ele,0.4639249639249639,0.29094516594516595,56,5544
2_5_2,Adv,0.5059399021663172,0.33764267412066157,54,8586
2_5_2,Ele,0.4800514800514801,0.29922779922779924,56,6216
2_5_3,Adv,0.42162698412698413,0.26339285714285715,56,4032
2_5_3,Ele,0.4765946502057613,0.327417695473251,54,3888
2_5_4,Adv,0.48936560322698935,0.28584525119178583,54,5454
2_5_4,Ele,0.45034843205574915,0.24716898954703834,56,4592
2_5_5,Adv,0.4877308066083576,0.2706511175898931,56,8232
2_5_5,Ele,0.49453941120607786,0.34283000949667614,54,4212
2_6_1,Adv,0.49208482676224613,0.30510752688172044,54,6696
2_6_1,Ele,0.4571731234866828,0.2690677966101695,56,6608
2_6_2,Adv,0.4479851973684211,0.26932565789473684,56,4864
2_6_2,Ele,0.524074074074074,0.34012345679012346,54,4860
2_6_3,Adv,0.4957805907172996,0.2869198312236287,54,4266
2_6_3,Ele,0.4448051948051948,0.26515151515151514,56,3696
2_6_4,Adv,0.471579476861167,0.25943158953722334,56,7952
2_6_4,Ele,0.5058823529411764,0.3010893246187364,54,4590
2_7_1,Adv,0.4442771084337349,0.2446213425129088,56,4648
2_7_1,Ele,0.4946727549467275,0.3163368848300355,54,3942
2_7_2,Adv,0.5070028011204482,0.31174136321195145,56,8568
2_7_2,Ele,0.5093547155402826,0.33505154639175255,54,5238
2_7_3,Adv,0.49713631156930127,0.30851470026727756,54,5238
2_7_3,Ele,0.48237781954887216,0.27537593984962405,56,4256
2_7_4,Adv,0.5267152398299939,0.37037037037037035,54,6588
2_7_4,Ele,0.4912398921832884,0.3258086253369272,56,5936
2_7_5,Adv,0.5064935064935064,0.274582560296846,56,8624
2_7_5,Ele,0.5322307039864291,0.31608707944585807,54,7074
2_7_6,Adv,0.5409159159159159,0.3664914914914915,54,7992
2_7_6,Ele,0.49001536098310294,0.3225806451612903,56,5208
2_8_1,Adv,0.45601851851851855,0.2798821548821549,54,4752
2_8_1,Ele,0.41954022988505746,0.24261083743842365,56,4872
2_8_2,Adv,0.5126117496807152,0.3342911877394636,54,6264
2_8_2,Ele,0.4992359413202934,0.31204156479217604,56,6544
2_8_3,Adv,0.4809173669467787,0.29044117647058826,56,5712
2_8_3,Ele,0.5066666666666667,0.3398148148148148,54,5400
2_8_4,Adv,0.4644396551724138,0.23029556650246305,56,6496
2_8_4,Ele,0.4789666209419296,0.27411979881115683,54,4374
2_8_5,Adv,0.517503805175038,0.2853881278538813,54,7884
2_8_5,Ele,0.46320346320346323,0.2325036075036075,56,5544
2_8_6,Adv,0.5064910271095838,0.3163421153111875,54,5238
2_8_6,Ele,0.44846938775510203,0.27091836734693875,56,3920
2_9_1,Adv,0.4158415841584158,0.22754596888260253,56,5656
