text_id,align_idx,level,mean_NF,median_NF,mean_nonzero_NF,n_subjects,n_rows
1_5_1,147,Ele,1.2971380471380471,1.0,1.7753456221198156,54,1188
1_5_1,148,Adv,1.1358024691358024,1.0,1.6470588235294117,54,1134
1_5_1,148,Ele,1.0658436213991769,1.0,1.5235294117647058,54,972
1_5_2,149,Adv,1.9512670565302144,1.0,2.3833333333333333,54,1026
1_5_2,149,Ele,1.522633744855967,1.0,1.8757921419518377,54,972
1_5_2,150,Adv,1.5160493827160493,1.0,2.0065359477124183,54,810
1_5_2,150,Ele,1.4660493827160495,1.0,1.8375241779497098,54,648
1_5_2,151,Adv,1.2627314814814814,1.0,1.7973640856672157,54,864
1_5_2,151,Ele,1.144880174291939,1.0,1.660347551342812,54,918
1_5_2,152,Adv,1.7021604938271604,1.0,2.09895337773549,54,1296
1_5_2,152,Ele,1.7455716586151369,1.0,2.1723446893787575,54,1242
1_5_2,153,Adv,1.4679487179487178,1.0,1.9581947743467933,54,2808
1_5_2,153,Ele,1.4026792750197006,1.0,1.8956336528221511,54,2538
1_5_2,154,Adv,1.064153439153439,1.0,1.690126050420168,54,1512
1_5_2,154,Ele,1.0098039215686274,1.0,1.5900514579759863,54,918
1_5_3,155,Adv,2.044044044044044,2.0,2.555694618272841,54,1998
1_5_3,155,Ele,2.0563607085346214,1.0,2.5287128712871287,54,1242
1_5_3,156,Adv,2.0150462962962963,2.0,2.2938076416337285,54,864
1_5_3,156,Ele,1.7549019607843137,1.0,2.182926829268293,54,918
1_5_3,157,Adv,1.875746714456392,1.0,2.176022176022176,54,1674
1_5_3,157,Ele,1.8553240740740742,1.0,2.2156185210780928,54,1728
1_5_3,158,Adv,1.6170848267622462,1.0,2.066412213740458,54,1674
1_5_3,158,Ele,1.3641975308641976,1.0,1.782258064516129,54,810
1_5_4,159,Adv,2.986111111111111,2.0,3.2908163265306123,54,216
1_5_4,159,Ele,2.638888888888889,2.0,2.9533678756476682,54,216
1_5_4,160,Adv,2.0487329434697856,1.0,2.4328703703703702,54,1026
1_5_4,160,Ele,1.5698005698005697,1.0,2.0146252285191957,54,702
1_5_4,161,Adv,1.5127314814814814,1.0,1.95952023988006,54,864
1_5_4,162,Adv,2.064814814814815,2.0,2.4327272727272726,54,324
1_5_4,163,Adv,1.5748299319727892,1.0,2.026750972762646,54,2646
1_5_4,163,Ele,1.6142857142857143,1.0,2.147079521463758,54,1890
1_5_4,164,Adv,1.7181964573268922,1.0,2.092156862745098,54,1242
1_5_4,164,Ele,1.6414141414141414,1.0,2.0333680917622523,54,1188
1_5_4,165,Adv,1.347590953785644,1.0,1.9221598877980364,54,2034
1_5_4,165,Ele,1.499485596707819,1.0,1.8745980707395498,54,1944
1_5_5,166,Adv,2.1947873799725652,2.0,2.686817800167926,54,1458
1_5_5,166,Ele,2.2821869488536155,2.0,2.7444326617179216,54,1134
1_5_5,167,Adv,2.2528735632183907,2.0,2.7180277349768875,54,1566
1_5_5,167,Ele,2.0768175582990396,2.0,2.5770212765957448,54,1458
1_5_5,168,Adv,1.7044444444444444,1.0,2.25146771037182,54,1350
1_5_5,168,Ele,1.4766505636070852,1.0,1.9956474428726878,54,1242
1_6_1,169,Adv,1.962962962962963,1.0,2.5238095238095237,54,1296
1_6_1,169,Ele,1.6929012345679013,1.0,2.140487804878049,54,1296
1_6_1,170,Adv,1.619212962962963,1.0,2.1213040181956027,54,1728
1_6_1,170,Ele,1.4807407407407407,1.0,1.9407766990291262,54,1350
1_6_1,171,Adv,1.8191358024691358,1.0,2.3766129032258063,54,1620
