pred_col,text_col,level_type
mean_nonzero_TF,Mamba 1.4B Mean,Adv
mean_nonzero_TF,Mamba 1.4B Mean,Ele
mean_nonzero_TF,Mamba 1.4B Mean,diff
mean_nonzero_TF,Mamba 2.8B Mean,Adv
mean_nonzero_TF,Mamba 2.8B Mean,Ele
mean_nonzero_TF,Mamba 2.8B Mean,diff
SkipRateTotal,flesch_reading_ease,Adv
SkipRateTotal,flesch_reading_ease,Ele
SkipRateTotal,flesch_reading_ease,diff
SkipRateTotal,dale_chall_score,Adv
SkipRateTotal,dale_chall_score,Ele
SkipRateTotal,dale_chall_score,diff
SkipRateTotal,gunning_fog_index,Adv
SkipRateTotal,gunning_fog_index,Ele
SkipRateTotal,gunning_fog_index,diff
SkipRateTotal,ARI,Adv
SkipRateTotal,ARI,Ele
SkipRateTotal,ARI,diff
SkipRateTotal,smog_index,Adv
SkipRateTotal,smog_index,Ele
SkipRateTotal,smog_index,diff
SkipRateTotal,coleman_liau_index,Adv
SkipRateTotal,coleman_liau_index,Ele
SkipRateTotal,coleman_liau_index,diff
SkipRateTotal,flesch_kincaid_grade_score,Adv
SkipRateTotal,flesch_kincaid_grade_score,Ele
SkipRateTotal,flesch_kincaid_grade_score,diff
SkipRateTotal,CML2RI,Adv
SkipRateTotal,CML2RI,Ele
SkipRateTotal,CML2RI,diff
SkipRateTotal,CAREC,Adv
SkipRateTotal,CAREC,Ele
SkipRateTotal,CAREC,diff
SkipRateTotal,CARES,Adv
SkipRateTotal,CARES,Ele
SkipRateTotal,CARES,diff
SkipRateTotal,SBERT,Adv
SkipRateTotal,SBERT,Ele
SkipRateTotal,SBERT,diff
SkipRateTotal,llama-3.3-70b-versatile_clear_prompt,Adv
SkipRateTotal,llama-3.3-70b-versatile_clear_prompt,Ele
SkipRateTotal,llama-3.3-70b-versatile_clear_prompt,diff
SkipRateTotal,gpt-4o_clear_prompt,Adv
SkipRateTotal,gpt-4o_clear_prompt,Ele
SkipRateTotal,gpt-4o_clear_prompt,diff
SkipRateTotal,gpt-5_clear_prompt,Adv
SkipRateTotal,gpt-5_clear_prompt,Ele
SkipRateTotal,gpt-5_clear_prompt,diff
SkipRateTotal,gemini-2.0-flash_clear_prompt,Adv
SkipRateTotal,gemini-2.0-flash_clear_prompt,Ele
SkipRateTotal,gemini-2.0-flash_clear_prompt,diff
SkipRateTotal,gemini-2.5-pro_clear_prompt,Adv
SkipRateTotal,gemini-2.5-pro_clear_prompt,Ele
SkipRateTotal,gemini-2.5-pro_clear_prompt,diff
SkipRateTotal,claude-sonnet-4-0_clear_prompt,Adv
SkipRateTotal,claude-sonnet-4-0_clear_prompt,Ele
SkipRateTotal,claude-sonnet-4-0_clear_prompt,diff
SkipRateTotal,text_evaluator,Adv
SkipRateTotal,text_evaluator,Ele
SkipRateTotal,text_evaluator,diff
SkipRateTotal,lexile,Adv
SkipRateTotal,lexile,Ele
SkipRateTotal,lexile,diff
SkipRateTotal,PLL_bert-base-uncased,Adv
SkipRateTotal,PLL_bert-base-uncased,Ele
SkipRateTotal,PLL_bert-base-uncased,diff
SkipRateTotal,cpidr_density,Adv
SkipRateTotal,cpidr_density,Ele
SkipRateTotal,cpidr_density,diff
SkipRateTotal,avg_integration_cost,Adv
SkipRateTotal,avg_integration_cost,Ele
SkipRateTotal,avg_integration_cost,diff
SkipRateTotal,avg_embedding_depth,Adv
SkipRateTotal,avg_embedding_depth,Ele
SkipRateTotal,avg_embedding_depth,diff
SkipRateTotal,mean_entropy_pythia,Adv
SkipRateTotal,mean_entropy_pythia,Ele
SkipRateTotal,mean_entropy_pythia,diff
SkipRateTotal,word_length,Adv
SkipRateTotal,word_length,Ele
SkipRateTotal,word_length,diff
SkipRateTotal,wordFreq_frequency,Adv
SkipRateTotal,wordFreq_frequency,Ele
SkipRateTotal,wordFreq_frequency,diff
SkipRateTotal,depid_density,Adv
SkipRateTotal,depid_density,Ele
SkipRateTotal,depid_density,diff
SkipRateTotal,max_embedding_depth,Adv
SkipRateTotal,max_embedding_depth,Ele
SkipRateTotal,max_embedding_depth,diff
SkipRateTotal,max_integration_cost,Adv
SkipRateTotal,max_integration_cost,Ele
SkipRateTotal,max_integration_cost,diff
SkipRateTotal,total_integration_cost,Adv
SkipRateTotal,total_integration_cost,Ele
SkipRateTotal,total_integration_cost,diff
SkipRateTotal,CAREC_M,Adv
SkipRateTotal,CAREC_M,Ele
SkipRateTotal,CAREC_M,diff
SkipRateTotal,mean_entropy_gpt2,Adv
SkipRateTotal,mean_entropy_gpt2,Ele
SkipRateTotal,mean_entropy_gpt2,diff
SkipRateTotal,PLL_bert-large-uncased,Adv
SkipRateTotal,PLL_bert-large-uncased,Ele
SkipRateTotal,PLL_bert-large-uncased,diff
SkipRateTotal,PLL_roberta-base,Adv
SkipRateTotal,PLL_roberta-base,Ele
SkipRateTotal,PLL_roberta-base,diff
SkipRateTotal,PLL_roberta-large,Adv
SkipRateTotal,PLL_roberta-large,Ele
SkipRateTotal,PLL_roberta-large,diff
SkipRateTotal,llama-3.3-70b-versatile_simple_prompt,Adv
SkipRateTotal,llama-3.3-70b-versatile_simple_prompt,Ele
SkipRateTotal,llama-3.3-70b-versatile_simple_prompt,diff
SkipRateTotal,gpt-4o_simple_prompt,Adv
SkipRateTotal,gpt-4o_simple_prompt,Ele
SkipRateTotal,gpt-4o_simple_prompt,diff
SkipRateTotal,gpt-5_simple_prompt,Adv
SkipRateTotal,gpt-5_simple_prompt,Ele
SkipRateTotal,gpt-5_simple_prompt,diff
SkipRateTotal,gemini-2.0-flash_simple_prompt,Adv
