text_id,level,mean_FD,median_FD,mean_nonzero_FD,n_subjects,n_rows
3_6_6,Adv,201.52282768777613,186.0,201.52282768777613,47,7469
3_6_6,Ele,193.82053354890866,179.0,193.82053354890866,47,7422
3_6_7,Adv,196.6851018220793,180.0,196.6851018220793,47,4665
3_6_7,Ele,198.37888395688014,181.0,198.37888395688014,47,3154
3_7_1,Adv,207.69747698194428,190.0,207.69747698194428,47,8363
3_7_1,Ele,202.16769768692845,184.0,202.16769768692845,47,7436
3_7_2,Adv,206.19450704225352,191.0,206.19450704225352,47,7100
3_7_2,Ele,196.95956590232802,184.0,196.95956590232802,47,5713
3_7_3,Adv,204.796992481203,189.0,204.796992481203,47,7315
3_7_3,Ele,202.47030665669408,185.0,202.47030665669408,47,6685
3_7_4,Adv,201.30346257010484,186.0,201.30346257010484,47,8202
3_7_4,Ele,207.1769424347279,190.0,207.1769424347279,47,6358
3_7_5,Adv,200.46441232615217,183.0,200.46441232615217,47,7334
3_7_5,Ele,204.19805467046788,188.0,204.19805467046788,47,5963
3_7_6,Adv,199.10859081978924,185.0,199.10859081978924,47,5599
3_7_6,Ele,197.56537457320746,182.0,197.56537457320746,47,4979
3_7_7,Adv,197.76053558844256,184.0,197.76053558844256,47,7095
3_7_7,Ele,200.98942257672968,186.0,200.98942257672968,47,5767
3_8_1,Adv,197.18349268841393,182.0,197.18349268841393,46,7112
3_8_1,Ele,204.30661712668083,188.0,204.30661712668083,47,5652
3_8_2,Adv,199.0796172248804,184.0,199.0796172248804,47,5225
3_8_2,Ele,201.9424058323208,187.0,201.9424058323208,47,4115
3_8_3,Adv,198.6389072847682,183.0,198.6389072847682,47,6040
3_8_3,Ele,193.40257849864838,180.0,193.40257849864838,47,4809
3_8_4,Adv,201.44325073644083,185.0,201.44325073644083,47,5771
3_8_4,Ele,189.24805867126832,178.0,189.24805867126832,47,4636
3_8_5,Adv,201.20226720647773,186.0,201.20226720647773,47,6175
3_8_5,Ele,203.83994090125586,187.0,203.83994090125586,47,4061
3_8_6,Adv,196.03622000298108,181.0,196.03622000298108,47,6709
3_8_6,Ele,202.62549894341396,187.0,202.62549894341396,47,4259
3_9_1,Adv,207.32124473561066,190.0,207.32124473561066,47,4274
3_9_1,Ele,198.15577439570276,184.0,198.15577439570276,47,3351
3_9_2,Adv,204.43134764384607,188.0,204.43134764384607,47,7873
3_9_2,Ele,198.31711409395973,184.0,198.31711409395973,47,6556
3_9_3,Adv,198.99450867052022,185.5,198.99450867052022,47,6920
3_9_3,Ele,191.18104156398883,180.0,191.18104156398883,47,6087
3_9_4,Adv,195.48480243161094,181.0,195.48480243161094,47,7238
3_9_4,Ele,202.37974982298797,188.0,202.37974982298797,47,4237
