text_id,level,mean_GD,median_GD,mean_nonzero_GD,n_subjects,n_rows
1_4_2,Adv,164.3501356238698,158.0,249.60006865774116,56,8848
1_4_2,Ele,150.76982591876208,147.0,235.30287784262427,55,7755
1_4_3,Adv,173.20909090909092,157.0,254.35994962216625,55,5830
1_4_3,Ele,148.94076655052265,152.5,228.283044058745,56,4592
1_4_4,Adv,160.1777015437393,154.0,240.18415637860082,55,8745
1_4_4,Ele,154.1456155632985,157.0,231.82423580786025,56,6888
1_4_5,Adv,160.26521915584416,159.0,233.45758202778597,56,4928
1_4_5,Ele,158.98372093023255,155.0,231.38246153846154,55,4730
1_5_1,Adv,159.4209595959596,147.5,251.31648089171975,55,3960
1_5_1,Ele,140.6930641821946,137.0,236.05644811115937,56,3864
1_5_2,Adv,155.89079102715468,147.0,247.21868563939339,55,8470
1_5_2,Ele,144.66138059701493,143.0,235.88418079096044,56,7504
1_5_3,Adv,179.50916149068323,168.0,251.5315491731941,56,6440
1_5_3,Ele,172.0637408568443,161.0,249.19037530266343,55,4785
1_5_4,Adv,165.3740350877193,157.0,248.23525280898878,55,8550
1_5_4,Ele,152.4042207792208,155.0,233.18678589170392,56,6160
1_5_5,Adv,165.59325396825398,160.0,244.74780058651027,56,4536
1_5_5,Ele,185.38335467349552,168.0,257.8069800569801,55,3905
1_6_1,Adv,160.80718816067653,145.0,256.44571813890764,55,4730
1_6_1,Ele,156.18384074941451,148.5,249.19383465670248,56,3416
1_6_2,Adv,155.42011278195488,152.0,238.51009615384615,56,6384
1_6_2,Ele,156.4181818181818,149.0,239.15848272278515,55,5885
1_6_3,Adv,167.68763636363636,155.0,249.73788248036826,55,5500
1_6_3,Ele,158.51203852327447,154.0,235.05623326390955,56,4984
1_6_4,Adv,147.4231805929919,148.0,237.99401686157194,56,5936
1_6_4,Ele,143.3103146853147,139.0,236.3029691553762,55,5720
1_7_1,Adv,145.968984962406,138.0,244.1996855345912,56,8512
1_7_1,Ele,146.3820895522388,141.0,236.8465422612514,55,7370
1_7_2,Adv,146.03131663113007,148.0,231.1854430379747,56,7504
1_7_2,Ele,146.1420979020979,143.0,231.94583795782464,55,7150
1_7_3,Adv,156.98292383292383,151.0,237.38454393460896,55,8140
1_7_3,Ele,147.4389020070838,145.0,232.8235842460965,56,6776
1_7_4,Adv,139.44475524475524,128.0,239.43085851510907,55,8580
1_7_4,Ele,139.72081556503198,138.0,234.76600985221674,56,7504
1_8_1,Adv,139.91489955357142,140.0,230.71313549574418,56,7168
1_8_1,Ele,138.13878787878787,133.0,225.78405151064882,55,6600
1_8_2,Adv,166.5980861244019,157.0,242.6652727996814,55,7315
1_8_2,Ele,160.17181467181467,158.0,238.93160547156228,56,6216
1_8_3,Adv,144.59324324324325,140.0,235.11566120655215,55,8140
1_8_3,Ele,143.52015762352227,144.0,233.06571498892444,56,6598
1_8_4,Adv,155.3992263056093,151.0,239.68198090692124,55,7755
1_8_4,Ele,142.15346790890268,146.0,227.1633581472291,56,7728
1_8_5,Adv,166.16901154401154,162.0,240.97331938268377,56,5544
1_8_5,Ele,163.47050997782705,160.0,235.76974736168853,55,4510
1_9_1,Adv,156.43607954545453,153.0,242.8850031505986,56,4928
