text_id,level,mean_FirstPassGD,median_FirstPassGD,mean_nonzero_FirstPassGD,n_subjects,n_rows
3_7_1,Adv,272.16470180305134,226.5,272.16470180305134,47,2884
3_7_1,Ele,250.01619014812263,207.0,250.01619014812263,47,2903
3_7_2,Adv,253.31413414172036,213.0,253.31413414172036,47,2639
3_7_2,Ele,234.49627906976744,203.0,234.49627906976744,47,2150
3_7_3,Adv,259.88083249412557,219.0,259.88083249412557,47,2979
3_7_3,Ele,250.87284719677538,208.0,250.87284719677538,47,2729
3_7_4,Adv,251.30674631061137,209.0,251.30674631061137,47,2846
3_7_4,Ele,263.05042668735456,217.5,263.05042668735456,47,2578
3_7_5,Adv,259.7760336906585,205.0,259.7760336906585,47,2612
3_7_5,Ele,253.0875822368421,210.0,253.0875822368421,47,2432
3_7_6,Adv,251.6060606060606,213.0,251.6060606060606,47,2541
3_7_6,Ele,241.01139742319128,199.0,241.01139742319128,47,2018
3_7_7,Adv,240.35882749326146,204.0,240.35882749326146,47,2968
3_7_7,Ele,233.65215716486904,204.5,233.65215716486904,47,2596
3_8_1,Adv,237.5961750643619,196.0,237.5961750643619,46,2719
3_8_1,Ele,241.70231213872833,204.0,241.70231213872833,47,2422
3_8_2,Adv,236.87172150691464,200.0,236.87172150691464,47,2097
3_8_2,Ele,237.6894767107533,204.0,237.6894767107533,47,1739
3_8_3,Adv,240.88350730688936,202.0,240.88350730688936,47,2395
3_8_3,Ele,224.40974358974358,194.0,224.40974358974358,47,1950
3_8_4,Adv,238.90303289192653,205.0,238.90303289192653,47,2341
3_8_4,Ele,224.63057324840764,194.0,224.63057324840764,47,1884
3_8_5,Adv,246.2881962187021,203.0,246.2881962187021,47,1957
3_8_5,Ele,242.4440406976744,206.0,242.4440406976744,47,1376
3_8_6,Adv,239.42925347222223,198.0,239.42925347222223,47,2304
3_8_6,Ele,236.42624789680315,201.0,236.42624789680315,47,1783
3_9_1,Adv,256.5671217292378,214.0,256.5671217292378,47,1758
3_9_1,Ele,235.98394160583942,199.0,235.98394160583942,47,1370
3_9_2,Adv,249.65154832655614,209.0,249.65154832655614,47,3197
3_9_2,Ele,238.84448091916292,198.0,238.84448091916292,47,2437
3_9_3,Adv,237.04390408645727,204.0,237.04390408645727,47,2961
3_9_3,Ele,221.5563288386255,195.0,221.5563288386255,47,2299
3_9_4,Adv,231.55076495132127,198.0,231.55076495132127,47,2157
3_9_4,Ele,232.99802761341223,199.0,232.99802761341223,47,1521
