l1_or_l2,batch,text_level,preview,version,measure,n_raters,n_items,kendalls_w,kendalls_w_pvalue,avg_spearmans_rho,avg_kendalls_tau,avg_pearson_r
L1,1,sentence,Hunting,V1,RR,30,252,0.19331064401754056,0.0,0.15952354697913934,0.1117012615410773,0.14820876151484225
L1,1,sentence,Hunting,V0,SR,30,253,0.20020844191248163,0.0,0.1727725693900003,0.11859326322966109,0.16580396959320967
L1,1,sentence,Hunting,V1,SR,30,252,0.19874046153883326,0.0,0.17124217311891635,0.11775729552481658,0.163030848695804
L1,2,paragraph,Gathering,V0,TF,29,54,0.32505355531851393,0.0,0.3009483251513179,0.20985359371826515,0.3193224418512806
L1,2,paragraph,Gathering,V1,TF,29,54,0.25990327523094,0.0,0.23347124934633065,0.16002795248078266,0.22746474941608869
L1,2,paragraph,Gathering,V0,RR,29,54,0.1965512482417335,0.0,0.16787061324978167,0.116197489979866,0.20121651256523662
L1,2,paragraph,Gathering,V1,RR,29,54,0.19147343581418022,0.0,0.16260706175365788,0.11065780783585442,0.16813838332014855
L1,2,paragraph,Gathering,V0,SR,29,54,0.2965283825625288,0.0,0.2714241983823689,0.18945415410012797,0.3062514717588353
L1,2,paragraph,Gathering,V1,SR,29,54,0.2711985128470445,0.0,0.24519266284543295,0.1690392833854166,0.2561148277160395
L1,2,paragraph,Hunting,V0,TF,30,54,0.21382059589606758,0.0,0.1867112736862416,0.12706184284417069,0.19547022330043856
L1,2,paragraph,Hunting,V1,TF,30,54,0.1479844990788387,0.0,0.11860465421948828,0.08050475111850083,0.114482430213237
L1,2,paragraph,Hunting,V0,RR,30,54,0.16079105520614956,0.0,0.13186205487089686,0.08994813118665473,0.1534407733759107
L1,2,paragraph,Hunting,V1,RR,30,54,0.13071655760963938,0.0,0.10074628190163405,0.06859669829059642,0.1068463683259516
L1,2,paragraph,Hunting,V0,SR,30,54,0.16187696673231264,0.0,0.13298876164078474,0.0902616043134916,0.12775308905217078
L1,2,paragraph,Hunting,V1,SR,30,54,0.13539076297566863,0.0,0.10558468763784519,0.07199646047993075,0.10582020437705797
L1,2,sentence,Gathering,V0,TF,29,285,0.33346088370682353,0.0,0.31618745800138454,0.21659439120183713,0.30010852699931106
L1,2,sentence,Gathering,V1,TF,29,289,0.3182609617523815,0.0,0.3014796377354113,0.206172185973877,0.27287115791441724
L1,2,sentence,Gathering,V0,RR,29,285,0.166773050664027,0.0,0.1329567669473368,0.09315255522326416,0.14865432739813705
L1,2,sentence,Gathering,V1,RR,29,289,0.18778951820459625,0.0,0.14617774281097382,0.10167986456040289,0.13931494054066534
