text_id,level,mean_FF,median_FF,mean_nonzero_FF,n_subjects,n_rows
1_8_4,Ele,136.59077040427155,148.0,207.27751519243753,114,15732
1_8_5,Adv,149.02161970583023,160.0,211.18257157207432,114,11286
1_8_5,Ele,149.50042789901582,160.0,211.90750568612586,114,9348
1_9_1,Adv,138.0020933014354,149.0,206.04807262985562,114,10032
1_9_1,Ele,143.30827067669173,154.0,211.07419712070876,114,7980
1_9_2,Adv,149.49423107317844,159.0,214.72190692395006,114,12654
1_9_2,Ele,147.76323930846223,157.0,208.97156093166902,114,10990
1_9_3,Adv,147.5588089943168,157.0,211.95048802129548,114,8094
1_9_3,Ele,133.8531457955233,146.0,201.1904978404183,114,6612
1_9_4,Adv,148.08377685787502,159.0,207.09276361130256,114,10146
1_9_4,Ele,147.24532485058802,159.0,207.74146606827145,114,10374
1_9_5,Adv,142.19312865497076,151.0,210.7477789815818,114,13680
1_9_5,Ele,151.32222222222222,160.0,215.92206275033377,114,8550
1_9_6,Adv,140.41721038132522,150.0,212.56749341527654,114,13794
1_9_6,Ele,142.08336899158465,152.0,214.31723321858863,114,14022
2_10_1,Adv,129.32432041642568,137.0,209.48752781356131,104,13832
2_10_1,Ele,139.00308390022676,149.0,207.7414938321811,105,11025
2_10_2,Adv,140.03347900155543,149.0,209.6,104,13501
2_10_2,Ele,150.49110830172776,159.0,214.6900324636287,105,11865
2_10_3,Adv,146.13756613756613,155.0,216.0669153929474,105,12285
2_10_3,Ele,132.09077275935073,139.0,210.0702861952862,104,11336
2_10_4,Adv,147.35827067669172,155.0,218.57230483271374,105,15960
2_10_4,Ele,142.80046869768998,153.0,210.25879066710482,103,8961
2_1_1,Adv,157.37384987893464,166.0,216.29084858569053,105,12390
2_1_1,Ele,139.16037735849056,148.0,205.3686746987952,104,11024
2_1_2,Adv,141.4126984126984,150.0,215.21741573033708,105,13545
2_1_2,Ele,133.4098178137652,143.0,207.70390797352664,104,9880
2_1_3,Adv,129.77512699564588,140.0,204.69895550150235,104,11024
2_1_3,Ele,140.63650793650794,151.0,210.66217554983157,105,7560
2_1_4,Adv,124.63135198135198,133.0,207.2157736653425,104,17160
2_1_4,Ele,139.10305764411027,150.0,213.37121328617562,105,9975
2_1_5,Adv,138.87713682489954,148.0,210.74131872674658,104,14683
2_1_5,Ele,154.0672911787666,160.0,217.2374243258118,105,12810
2_1_6,Adv,155.16272696128812,162.0,217.16532412734944,105,14595
2_1_6,Ele,140.24538084464555,150.0,204.35755494505494,104,10608
2_2_1,Adv,137.67654192654192,145.0,208.62929902861643,104,11544
2_2_1,Ele,151.00278526504943,158.0,216.301287001287,105,11130
2_2_2,Adv,135.84734791352437,144.0,210.04790593722672,104,15912
2_2_2,Ele,144.7272543059777,154.0,215.47536202735319,105,14805
2_2_3,Adv,144.7214366515837,152.0,210.99573941726223,104,10608
2_2_3,Ele,160.06622369878184,166.0,216.02122253773726,105,9030
2_2_4,Adv,183.68316326530612,182.0,228.34186046511627,105,5880
2_2_4,Ele,153.00923076923078,160.0,209.76746638544688,104,5200
2_2_5,Adv,151.64958017334777,158.0,216.75967866821526,104,14768
2_2_5,Ele,134.98625089863407,145.0,204.98457969432314,104,11128
2_2_6,Adv,149.9701814058957,157.0,215.25419039869814,105,8820
2_2_6,Ele,134.14005016722408,147.0,202.82111251580278,104,7176
2_3_1,Adv,133.05441595441596,142.0,207.68026681489715,104,14040
2_3_1,Ele,143.01377289377288,154.0,210.02022592791823,105,13650
2_3_2,Adv,133.18127085923697,144.0,205.69466343238327,104,15281
2_3_2,Ele,149.21849816849817,158.0,212.61299582463465,105,10920
2_3_3,Adv,143.48534080298785,152.0,211.39875275128392,105,16065
2_3_3,Ele,131.26963993453356,142.0,202.956191681164,104,9776
2_3_4,Adv,130.94694244604315,140.0,208.59162534435262,104,14456
2_3_4,Ele,147.42273425499232,157.0,214.09622248661512,105,9765
2_4_1,Adv,145.91777003484322,157.0,212.65267433987813,105,8610
2_4_1,Ele,128.67396449704142,142.5,201.30432770192084,104,6760
2_4_2,Adv,155.2664425770308,162.0,219.40357821405954,105,8925
