text_id,align_idx,level,mean_TF,median_TF,mean_nonzero_TF,n_subjects,n_rows
1_4_4,134,Ele,277.9654104284977,204.0,406.0475113122172,114,1937
1_4_4,135,Adv,368.9783637592968,257.0,470.85332182916306,114,1479
1_4_4,135,Ele,346.3143274853801,252.0,454.6621880998081,114,1368
1_4_4,136,Adv,292.0539523212045,197.5,411.24911660777383,114,1594
1_4_4,136,Ele,238.67783094098883,184.5,347.2180974477958,114,1254
1_4_4,137,Adv,255.59795321637426,193.5,375.1695278969957,114,1368
1_4_4,137,Ele,237.74634146341464,180.0,362.09509658246657,114,1025
1_4_4,138,Adv,311.12035123966945,209.0,446.9974025974026,114,3872
1_4_4,138,Ele,284.65912719531667,198.0,413.03050193050194,114,3758
1_4_4,139,Adv,278.86046511627904,197.0,404.436645396536,114,1591
1_4_4,139,Ele,257.33208020050125,189.0,372.0126811594203,114,798
1_4_4,140,Adv,302.516,213.0,416.45925110132157,114,1250
1_4_4,140,Ele,231.50169033130493,170.0,364.2457446808511,114,1479
1_4_4,141,Adv,201.3657894736842,150.5,337.83222958057394,114,2280
1_4_5,142,Adv,306.6826625386997,231.0,400.23636363636365,114,1938
1_4_5,142,Ele,326.2820888238165,214.0,446.5945223780895,114,2049
1_4_5,143,Adv,246.55352755352754,178.0,376.43676312968915,114,2849
1_4_5,143,Ele,278.4495798319328,189.0,400.7592083562397,114,2618
1_4_5,144,Adv,274.4994930719838,197.0,398.9410609037328,114,2959
1_4_5,144,Ele,258.53401609363567,193.0,368.5255474452555,114,2734
1_4_5,145,Adv,284.1243409490334,203.0,394.5497254423429,114,2276
1_4_5,145,Ele,246.47051442910916,177.0,359.11700182815355,114,2391
1_5_1,146,Adv,287.8592035120727,199.0,407.8111950244336,114,3189
1_5_1,146,Ele,229.1298426150121,181.0,341.62680505415165,114,3304
1_5_1,147,Adv,260.83339701948796,173.0,408.4985038898863,114,2617
1_5_1,147,Ele,219.00998003992015,172.0,339.702786377709,114,2505
1_5_1,148,Adv,187.06895110739657,151.0,309.79653979238753,114,2393
1_5_1,148,Ele,169.35233918128654,140.0,286.2528830313015,114,2052
1_5_2,149,Adv,294.7353760445682,201.0,404.1120305537874,114,2154
1_5_2,149,Ele,239.1583820662768,187.0,334.300408719346,114,2052
1_5_2,150,Adv,234.71411833626246,169.0,352.6910211267606,114,1707
1_5_2,150,Ele,237.36769005847952,193.0,342.53059071729956,114,1368
1_5_2,151,Adv,207.15734649122808,160.0,334.0893015030946,114,1824
1_5_2,151,Ele,180.09133126934984,148.0,294.52911392405065,114,1938
1_5_2,152,Adv,284.0710362504577,210.0,391.0272177419355,114,2731
1_5_2,152,Ele,267.76670484917906,192.0,380.0981029810298,114,2619
1_5_2,153,Adv,241.45123185960176,173.0,369.6305864117799,114,5926
1_5_2,153,Ele,230.28931639895404,177.0,349.877695800227,114,5354
1_5_2,154,Adv,184.3159711327267,132.0,321.8712328767123,114,3187
1_5_2,154,Ele,165.99277605779153,126.5,298.14087117701575,114,1938
1_5_3,155,Adv,345.3248694826768,245.5,460.9436173582515,114,4214
1_5_3,155,Ele,329.4397705544933,219.0,457.0212201591512,114,2615
1_5_3,156,Adv,329.2442371020856,252.5,409.1971350613915,114,1822
1_5_3,156,Ele,284.42776057791536,198.5,410.1346726190476,114,1938
1_5_3,157,Adv,295.8871882086168,224.0,391.55663915978994,114,3528
1_5_3,157,Ele,301.31541415249586,206.0,408.55187802156934,114,3646
1_5_3,158,Adv,250.65266742338252,183.0,366.6666666666667,114,3524
1_5_3,158,Ele,226.40901111761264,179.0,332.7024935511608,114,1709
1_5_4,159,Adv,451.21286031042126,311.0,524.4768041237113,114,451
1_5_4,159,Ele,434.07894736842104,290.0,523.6507936507936,114,456
1_5_4,160,Adv,338.3979639055993,238.0,446.7183872938302,114,2161
1_5_4,160,Ele,258.8070175438597,193.0,372.7424684159378,114,1482
1_5_4,161,Adv,246.08182317408017,182.0,368.81893004115227,114,1821
1_5_4,162,Adv,399.2298682284041,283.0,508.72014925373134,114,683
1_5_4,163,Adv,292.56723366159355,209.0,410.2405222194326,114,5585
1_5_4,163,Ele,278.16662484316186,196.0,407.6844428098566,114,3985
1_5_4,164,Adv,312.3120946203739,233.0,409.6946946946947,114,2621
1_5_4,164,Ele,261.4299960111687,203.0,360.3106102253986,114,2507
1_5_4,165,Adv,220.08464882177992,163.0,358.41654247391955,114,4371
1_5_4,165,Ele,239.8764619883041,186.0,354.11978417266187,114,4104
1_5_5,166,Adv,347.7537410540013,227.0,472.1709363957597,114,3074
1_5_5,166,Ele,371.11353162966066,250.0,481.7009244154432,114,2387
1_5_5,167,Adv,355.96182974856106,241.0,487.5643153526971,114,3301
1_5_5,167,Ele,349.47169811320754,242.0,476.3973392461197,114,3074
1_5_5,168,Adv,266.53387153387155,184.0,405.6383547008547,114,2849
1_5_5,168,Ele,246.64503816793894,188.0,358.20953436807093,114,2620
1_6_1,169,Adv,304.22930402930405,191.0,438.51425554382257,114,2730
1_6_1,169,Ele,264.94031490296595,184.0,380.81684210526316,114,2731
1_6_1,170,Adv,262.2964589623936,184.0,383.59935768767565,114,3643
1_6_1,170,Ele,239.0080815179199,174.0,361.04936305732485,114,2846
1_6_1,171,Adv,287.44972148929935,197.0,424.0878027681661,114,3411
1_6_1,171,Ele,247.6957478005865,194.0,356.76557550158395,114,1364
1_6_2,172,Adv,333.8008474576271,238.5,439.0437898089172,114,3304
1_6_2,172,Ele,363.4563218390805,244.0,467.7618343195266,114,2610
